ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,copys,borrows
0590282433,"Godzilla (Godzilla (Movie Books))","H. B. Gilmour",1998,Scholastic,http://images.amazon.com/images/P/0590282433.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590282433.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590282433.01.LZZZZZZZ.jpg,5,0
1903933145,"The Desire and Pursuit of the Whole (New Editions: A Memoir of Venice)","W.H. Auden",2002,"Gibson Square Books",http://images.amazon.com/images/P/1903933145.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1903933145.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1903933145.01.LZZZZZZZ.jpg,5,0
0333905083,"Forty-seven Roses","Peter Sheridan",2001,"Pan Macmillan",http://images.amazon.com/images/P/0333905083.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0333905083.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0333905083.01.LZZZZZZZ.jpg,5,0
0312851154,"Season of Passage","Christopher Pike",1992,"St Martins Pr",http://images.amazon.com/images/P/0312851154.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312851154.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312851154.01.LZZZZZZZ.jpg,5,0
0553291459,"Cheating to Win (Sweet Valley High, No 77)","Francine Pascal",1991,"Sweet Valley",http://images.amazon.com/images/P/0553291459.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553291459.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553291459.01.LZZZZZZZ.jpg,5,0
0716721082,"Managing Planet Earth: Readings from Scientific American Magazine","Scientific American",1990,"W.H. Freeman &amp; Company",http://images.amazon.com/images/P/0716721082.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0716721082.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0716721082.01.LZZZZZZZ.jpg,5,0
1857990633,"The Pupil","Caro Fraser",1994,"Acacia Press, Inc.",http://images.amazon.com/images/P/1857990633.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1857990633.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1857990633.01.LZZZZZZZ.jpg,5,0
0395900239,"Five Little Monkeys Jumping on the Bed","Eileen Christelow",1998,"Houghton Mifflin Co",http://images.amazon.com/images/P/0395900239.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0395900239.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0395900239.01.LZZZZZZZ.jpg,5,0
1575667568,"Dead in the Water: A Daisy Dalrymple Mystery (Daisy Dalrymple Mysteries (Paperback))","Carola Dunn",2002,"Kensington Publishing Corporation",http://images.amazon.com/images/P/1575667568.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1575667568.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1575667568.01.LZZZZZZZ.jpg,5,0
0312925204,"Brothers in Blood","Clark Howard",1991,"St. Martin's Press",http://images.amazon.com/images/P/0312925204.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312925204.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312925204.01.LZZZZZZZ.jpg,5,0
0821745697,"Dead in the Cellar (An Amanda Hazard Mystery)","Connie Feddersen",1994,"Kensington Pub Corp (Mm)",http://images.amazon.com/images/P/0821745697.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0821745697.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0821745697.01.LZZZZZZZ.jpg,5,0
0380815613,"Suture Self (Bed-And-Breakfast Mysteries (Paperback))","Mary Daheim",2002,Avon,http://images.amazon.com/images/P/0380815613.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380815613.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380815613.01.LZZZZZZZ.jpg,5,0
0373243073,"Marriage Basket (The Blackwell Brothers) (Special Edition, 1307)","Sharon De Vita",2000,Silhouette,http://images.amazon.com/images/P/0373243073.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373243073.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373243073.01.LZZZZZZZ.jpg,5,0
0843946237,"Beyond Forever","Debra Dier",1999,"Leisure Books",http://images.amazon.com/images/P/0843946237.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0843946237.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0843946237.01.LZZZZZZZ.jpg,5,0
0816732434,"The Clintons: Meet the First Family","Chip Eliot",1994,"Troll Communications Llc",http://images.amazon.com/images/P/0816732434.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0816732434.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0816732434.01.LZZZZZZZ.jpg,5,0
0805773789,"Richard Brautigan (Twayne's United States authors series)","Edward Halsey Foster",1983,"Gale Group",http://images.amazon.com/images/P/0805773789.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0805773789.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0805773789.01.LZZZZZZZ.jpg,5,0
0441519253,Maori,"Alan Dean Foster",1988,"Ace Books",http://images.amazon.com/images/P/0441519253.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441519253.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441519253.01.LZZZZZZZ.jpg,5,0
0312714106,"Shadow of the Moon","M. M. Kaye",1979,"St Martins Pr",http://images.amazon.com/images/P/0312714106.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312714106.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312714106.01.LZZZZZZZ.jpg,5,0
0590026232,"Ghostmasters: Wierd Stories by Famous Writers","Betty M. Owen",1977,Scholastic,http://images.amazon.com/images/P/0590026232.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590026232.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590026232.01.LZZZZZZZ.jpg,5,0
0517352931,"Excuses Excuses","R. A. Myers",1984,"Random House Value Publishing",http://images.amazon.com/images/P/0517352931.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0517352931.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0517352931.01.LZZZZZZZ.jpg,5,0
0590408747,"Stage Fright: It's Role in Acting","Ann Matthews Martin",1986,Scholastic,http://images.amazon.com/images/P/0590408747.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590408747.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590408747.01.LZZZZZZZ.jpg,5,0
2253141453,"De l'amour et autres dĂ?Â©mons","Gabriel Garcia Marquez",1997,LGF,http://images.amazon.com/images/P/2253141453.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2253141453.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2253141453.01.LZZZZZZZ.jpg,5,0
0380810662,"All Night Long (Avon Romance)","Michelle Jerott",1999,Avon,http://images.amazon.com/images/P/0380810662.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380810662.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380810662.01.LZZZZZZZ.jpg,5,0
0563360828,"Naked Hollywood: Money, power, and the movies","Nicolas Kent",1991,"BBC Books",http://images.amazon.com/images/P/0563360828.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0563360828.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0563360828.01.LZZZZZZZ.jpg,5,0
0192833944,"The Monk (Oxford World's Classics)","Matthew Lewis",1998,"Oxford University Press",http://images.amazon.com/images/P/0192833944.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0192833944.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0192833944.01.LZZZZZZZ.jpg,5,0
0802431321,"A Savior Worth Having","E. V. Hill",2002,"Moody Publishers",http://images.amazon.com/images/P/0802431321.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0802431321.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0802431321.01.LZZZZZZZ.jpg,5,0
0316816450,"All the Blue Moons at the Wallace Hotel","Phoebe Stone",2000,"Little, Brown",http://images.amazon.com/images/P/0316816450.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316816450.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316816450.01.LZZZZZZZ.jpg,5,0
0765306972,"The Elementals","Morgan Llywelyn",2003,"Tor Books",http://images.amazon.com/images/P/0765306972.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0765306972.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0765306972.01.LZZZZZZZ.jpg,5,0
0895775522,"The further adventures of Sherlock Holmes (World's best reading)","Arthur Conan Doyle",1993,"Reader's Digest Association",http://images.amazon.com/images/P/0895775522.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0895775522.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0895775522.01.LZZZZZZZ.jpg,5,0
0373701527,"Then Came Laughter","Carol Katz",1985,Harlequin,http://images.amazon.com/images/P/0373701527.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373701527.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373701527.01.LZZZZZZZ.jpg,5,0
0395383641,"The Stupids Die","Harry G. Allard",1985,"Houghton Mifflin",http://images.amazon.com/images/P/0395383641.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0395383641.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0395383641.01.LZZZZZZZ.jpg,5,0
0312998902,"Wicked Promise","Kat Martin",2004,"St. Martin's Press",http://images.amazon.com/images/P/0312998902.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312998902.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312998902.01.LZZZZZZZ.jpg,5,0
0312017952,"Murder at the Blue Owl","Lee Martin",1988,"St Martins Pr",http://images.amazon.com/images/P/0312017952.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312017952.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312017952.01.LZZZZZZZ.jpg,5,0
0671707434,"The BURDEN OF PROOF","Scott Turow",1990,Audioworks,http://images.amazon.com/images/P/0671707434.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671707434.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671707434.01.LZZZZZZZ.jpg,5,0
0913367478,"Unto the Hills","Billy Graham",1995,"Billy Graham Evangelistic Association",http://images.amazon.com/images/P/0913367478.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0913367478.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0913367478.01.LZZZZZZZ.jpg,5,0
0898794633,"The Writer's Digest Handbook of Short Story Writing (Writer's Digest Handbook of Short Story Writing)","Jean M. Fredette",1991,"Writer's Digest Books",http://images.amazon.com/images/P/0898794633.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0898794633.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0898794633.01.LZZZZZZZ.jpg,5,0
0385153821,"The World's Greatest Blackjack Book","Lance Humble",1987,"Main Street Books",http://images.amazon.com/images/P/0385153821.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385153821.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385153821.01.LZZZZZZZ.jpg,5,0
0811803066,"Backroad Wineries of Northern California: A Scenic Tour of California's Country Wineries","Bill Gleeson",1994,"Chronicle Books",http://images.amazon.com/images/P/0811803066.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0811803066.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0811803066.01.LZZZZZZZ.jpg,5,0
0671460323,GATHERER,"Kelli M. Gary",1983,Pocket,http://images.amazon.com/images/P/0671460323.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671460323.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671460323.01.LZZZZZZZ.jpg,5,0
0803282109,"The Home Ranch","Ralph Moody",1994,"University of Nebraska Press",http://images.amazon.com/images/P/0803282109.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0803282109.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0803282109.01.LZZZZZZZ.jpg,5,0
0964651009,"Against the wind","Marty Basch",1995,"Top of the World Communications",http://images.amazon.com/images/P/0964651009.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0964651009.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0964651009.01.LZZZZZZZ.jpg,5,0
0671797387,"LITTLE TRAIN, THE","Sian Tucker",1993,"Little Simon",http://images.amazon.com/images/P/0671797387.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671797387.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671797387.01.LZZZZZZZ.jpg,5,0
1555613101,"Baby and Toddler Learning Fun: 50 Interactive and Developmental Activities to Enjoy with Your Child","Sally R. Goldberg",2001,HarperCollins,http://images.amazon.com/images/P/1555613101.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1555613101.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1555613101.01.LZZZZZZZ.jpg,5,0
0330242903,"Daring Detectives","Alfred Hitchcock",1975,"Pan Macmillan",http://images.amazon.com/images/P/0330242903.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0330242903.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0330242903.01.LZZZZZZZ.jpg,5,0
0394578074,"Chili Dawgs Always Bark at Night","LEWIS GRIZZARD",1989,Villard,http://images.amazon.com/images/P/0394578074.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394578074.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394578074.01.LZZZZZZZ.jpg,5,0
0451520793,"Ethan Frome","Edith Wharton",1987,"Signet Book",http://images.amazon.com/images/P/0451520793.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451520793.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451520793.01.LZZZZZZZ.jpg,5,0
0709064497,"Constable Under the Goosebury Bush (The Constable Series)","Nicholas Rhea",1999,"Robert Hale Ltd",http://images.amazon.com/images/P/0709064497.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0709064497.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0709064497.01.LZZZZZZZ.jpg,5,0
0380724979,"Sanctuary (Peter Decker &amp; Rina Lazarus Novels (Paperback))","Faye Kellerman",1995,Avon,http://images.amazon.com/images/P/0380724979.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380724979.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380724979.01.LZZZZZZZ.jpg,5,0
0312966806,"Tell Me Lies (Tell Me Lies)","Jennifer Crusie",1999,"St. Martin's Press",http://images.amazon.com/images/P/0312966806.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312966806.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312966806.01.LZZZZZZZ.jpg,5,0
0425112152,"Capricorn (Astroanalysis)","American Astroanalysts Institute Staff",1999,"Berkley Publishing Group",http://images.amazon.com/images/P/0425112152.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425112152.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425112152.01.LZZZZZZZ.jpg,5,0
1568959672,"Tuesdays With Morrie: An Old Man, a Young Man, and Lifes Greatest Lesson (Wheeler Large Print Press (large print paper))","Mitch Albom",1999,"Large Print Press",http://images.amazon.com/images/P/1568959672.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1568959672.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1568959672.01.LZZZZZZZ.jpg,5,0
0425186210,"Christmas Revels","Mary Jo Putney",2002,"Berkley Publishing Group",http://images.amazon.com/images/P/0425186210.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425186210.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425186210.01.LZZZZZZZ.jpg,5,0
0024040908,"Statistics Without Tears: A Primer for Non Mathematicians","Derek Rowntree",1981,"MacMillan Publishing Company.",http://images.amazon.com/images/P/0024040908.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0024040908.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0024040908.01.LZZZZZZZ.jpg,5,0
0486237850,"Sans-Serif Display Alphabets:  100 Complete Fonts","Dan X. Solo",1979,"Dover Publications",http://images.amazon.com/images/P/0486237850.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0486237850.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0486237850.01.LZZZZZZZ.jpg,5,0
0802756433,"Timor Mortis","Will Harriss",1986,"Walker &amp; Company",http://images.amazon.com/images/P/0802756433.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0802756433.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0802756433.01.LZZZZZZZ.jpg,5,0
0888783884,"Clouds Without Heaven","Mary Cameron",1998,"Porcepic Books",http://images.amazon.com/images/P/0888783884.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0888783884.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0888783884.01.LZZZZZZZ.jpg,5,0
0380720191,"The List of 7","Mark Frost",1994,Avon,http://images.amazon.com/images/P/0380720191.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380720191.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380720191.01.LZZZZZZZ.jpg,5,0
0671551809,"Gifts From Eykis: A Story of Self-Discovery","Wayne Dyer",1984,Pocket,http://images.amazon.com/images/P/0671551809.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671551809.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671551809.01.LZZZZZZZ.jpg,5,0
0821726560,"Spencer Tracy, Tragic Idol","Bill Davidson",1989,"Zebra Books",http://images.amazon.com/images/P/0821726560.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0821726560.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0821726560.01.LZZZZZZZ.jpg,5,0
0679734910,"Big Bad Love: Stories (Vintage Contemporaries)","Larry Brown",1991,"Vintage Books USA",http://images.amazon.com/images/P/0679734910.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679734910.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679734910.01.LZZZZZZZ.jpg,5,0
0944475191,"The Eating Well Cookbook: Favorite Recipes from Eating Well, the Magazine of Food and Health","Rux Martin",1991,"Firefly Books Ltd",http://images.amazon.com/images/P/0944475191.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0944475191.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0944475191.01.LZZZZZZZ.jpg,5,0
0140285962,"Silent Thunder: In the Presence of Elephants","Katy Payne",1999,"Penguin Books",http://images.amazon.com/images/P/0140285962.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140285962.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140285962.01.LZZZZZZZ.jpg,5,0
0452008743,"Willa Cather: 24 Stories","Willa Cather",1988,"Plume Books",http://images.amazon.com/images/P/0452008743.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452008743.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452008743.01.LZZZZZZZ.jpg,5,0
0553481819,"The Hunt (Doomsday Mall , No 2)","Bebe Faas Rice",1995,Skylark,http://images.amazon.com/images/P/0553481819.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553481819.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553481819.01.LZZZZZZZ.jpg,5,0
0131762494,"Corrections in the United States: A Contemporary Perspective","Dean J. Champion",1990,"Prentice Hall",http://images.amazon.com/images/P/0131762494.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0131762494.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0131762494.01.LZZZZZZZ.jpg,5,0
0882073427,"How to be a better-than-average in-law","H. Norman Wright",1981,"Victor Books",http://images.amazon.com/images/P/0882073427.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0882073427.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0882073427.01.LZZZZZZZ.jpg,5,0
0441555292,"Myth Directions (Myth Books)","Robert Asprin",1988,"Ace Books",http://images.amazon.com/images/P/0441555292.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441555292.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441555292.01.LZZZZZZZ.jpg,5,0
0307101401,"I Can Dress Myself (First Little Golden Book)","Golden Press",1994,"Golden Books",http://images.amazon.com/images/P/0307101401.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0307101401.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0307101401.01.LZZZZZZZ.jpg,5,0
0064400816,"West from Home: Letters of Laura Ingalls Wilder, San Francisco, 1915","Laura Ingalls Wilder",1976,HarperTrophy,http://images.amazon.com/images/P/0064400816.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0064400816.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0064400816.01.LZZZZZZZ.jpg,5,0
